name,ownerAddress,publicKey,effectiveness,attestations
datapunk,0x54b4725c9CC3E1B91d513D3344561ba36182AB80,c4cf1bafa362e0b4c112bbec952cfef10ad08f26eea5688e925fa136c62c89f0,40,47
Terminator,0xAE3F76a1480e7179c9E45CcA6Fb38BD92F474Cc3,a71afc8426ee718119aefbeff0b32446db278767b9f813266901c97157b472f9,40,47
Best,0x17CAdCE0d5d735aea8e7e94AD1DB76DE0D213847,c651b4dab1bcf1de137b20add24968e460eaf289f807ce20b33256d95c9ff150,40,47
GNONG,0x7779DCA21060C358bB19332e0897d3E938f4C7c8,9a3634325d0281fc22449ca28b68e207690f0ea8fcb6384e7dddd6186f835e0a,40,47
ssvtestnet,0x78dD7a6Ce415312759814009149Fc6648DA36f55,8af4b6475e2020211ff4c2c51c7e902881883131ba096fc75656bbbecb90920d,40,47
infstones,0x78dD7a6Ce415312759814009149Fc6648DA36f55,0a7ec9ee639c5d89265866fd1a0bc761d91d782af2289f9fc85c32f4f56cd0cb,39,46
DAppNode4Kinakuta,0xc7fB2F77a36Ef1ed2b1bf34C999E349C0e6B4D42,d9eaf5cddf0b1855638221dd311db7188f5db54d217845b1fcd76cf616c72349,39,46
DAppNodeFM,0xa577c982BE08F1D01f28f78b7Bf0d7577A4662Cc,01bb1333622a262d578ea30e8533d7bfbbefa7e086180478373e16201107e399,40,46
hackworth,0xc799bE8De03F20B2D3b101E6F6516D614e6fFe06,6725a87ca771c715aa47c229702470dee8c08d624d94278712d48f33a3400db9,39,46
80MP4,0x6676FFebC95C0B3C85025d57b9543E11C571dB4a,c53abbfad466229262a5b90f74c916328d45030121c8278caeceaa3baee8dc7a,40,47
DAppNodeHackworth,0xc799bE8De03F20B2D3b101E6F6516D614e6fFe06,9b26e5b55513bf1924569e52c7e669a75039344acdc16a783563589a8dc3451d,39,45
PenguinBloxStaking,0xee09d319ce6AE186B418E0CBcB7Eed1F71426F27,55a93318691223b74a94f3549d3350942dc8e4ae59143f1dc8f932383ff1f713,40,47
ShivaBloxNode,0xd185dd7ea867751C23c4C944f30A697485C71AD5,7eacb781ec131681fb93c1a7c9f69cc043c1fd66ba33f3e36511b9a55091d283,40,47
contrabandoperator,0x2a0b5075e2D0845BD9114E8F3102e7441960A24C,9ddaa4e4cc1b8c14df7318544fc010bf491495954aee114590f13f8f8ddf659c,40,46
Testdapnode12,0x1B9D48c09cF07b3f6C1bfeAb0D969bEa36299454,242475c2a7259640617edfb01af661cafd6af202dfc4579b2eaa36c6e600b924,40,47
BumiBulat,0x56793Ea3e29E8639071B236c97d217e5a3826041,89f4a390cdbe5cbb19cd02b02e21fb4ef9c422fdd704c25dc1986cab60018aba,40,47
gimlet,0x2fB1448998DBDe5DABd9c27ffc8D302442CdB497,e3b6898d94e71012c228095055f2fc45e3ff59399fc05f29287741ab33cfdeef,40,47
Stakin,0xf72bdFB3CC3b5168Ce3D3C640212EB5cbF6c0e00,ac3b3248d433e92b6475ac2d669dec9097a2e47b354bac3fe47691b2125b6e5f,39,46
DaNode,0x3e304E9Ab1a50a82Da3950790E20c79f1E35d01E,67db45c0f00df448672608171347dee275bde43a2579fc576b33e5125008eb6b,40,47
SURYANODE,0xf4b4b57108f6b9C40fdC4CC2A5B174517a296E2E,118551a33c5a488e786c0da3425715c34b0493d1663ade93b8f47f68c3137672,40,47
YAGI,0x6c0Fadd48e7e236Bb10f7D69148Be5502a18ca57,c1c1c4c57f60e6901113aa9fc1dcebd921468d85a934793327cb44c644ffe33a,40,47
Pro100,0x7B5cd0ac04Cf4FEe97cF9baAFBbfff6a4CC4B0D7,710c4a373403f97020e29fde057c5b01583f08b262b0efb8ae2e23c35c7ada97,40,47
Rekib4b,0xdd144d2b6DE680C9FaF1EBf1B801f85ad4b4CFE3,bdc821036faafb875ce5ad23c1349a216a452dbeecf8d1f596f1ea83d50b0003,40,47
Unobanomo,0xbf1c2e6214580D94DC221F2943Fb7f9c28307dfd,70be58ebcefccc746981f7be2e7c0bd16cb470d99fd024adcfacb1430912dc41,40,47
EuropeNode,0x1CBCC0151fb1E3cAea5e1Ad22964D2aD5a250A35,5f2897361a3eacd4579e8d9313741ddf288a390102d5d7b35b6704e04f70fa72,40,47
tarzan18,0x255DcfA35b70fC60BFAc74fFDFB4782b441a1963,b1658c29a33a6285abc892072c5a35270a503d6996898cb2af342c914b650bc2,40,47
CVJoint,0xf389dD1F828525b449D63D14157f2d3A25eE0a41,be16c3832bdc335a4da3b2e89c3f113c0e946a4965bba26d6136e73d67673abb,40,47
nodebaye,0xf984B941960eC24ba5c044796bee29d848847777,dbac6ffd123b44aa5d33bd359c4c0d1540dbf2e7624d28b6b22d4fd772527333,40,47
istanbul,0xb974c920234BE5c53a6dD863744417e7c9B12F1E,29ecc71f925b803c5fc2df171fdaae84dd1b252ad0c551ae9e8c4bef6fbafe13,40,47
StakeTarget,0xC4bD35FcAa21d4d5670aA747c4D4df19011B230a,b3166a1889950d17a7f57b5d1982096141d546fa32ab1a62c7a5a8be3b70eb73,40,47
SimplyVC,0x58aBfF68f76Bc25aA2b2984b95d5659c7bD05e44,b410260ef9be196e92451453fd7ad612118a70549077e23f7859dac5754903eb,40,46
ozgurdener,0x3833e3Afd07D43C3519A5f6Cb9a9F51B13b58571,d7b79d70c4d2ef8f3478c54c5849686ea3249118d5156f41884cb2de4db40c9b,40,47
dappnodeblackswan,0x0A1D4E774BeeFBe600502D9dAa21C6AFa52b987a,9ae746f5678618e10edda735946bfbcc78a794c3577800216ea2c61c51929ec0,40,46
ozgurdener2,0x3833e3Afd07D43C3519A5f6Cb9a9F51B13b58571,6cace058b82b519be50efe87438c357fc5a860b6198ec3b631b235be82ac95c0,40,47
ilyassvnode,0x8157543bC8876E390674c34173C94E454b2D4763,2af6471c988d1aaa1f0e4e2fc4fff418a773efa32e2078b89d33d7651c10600e,40,47
izmir,0x3833e3Afd07D43C3519A5f6Cb9a9F51B13b58571,0c0fb322bbe8d0016a22ab33a8e3be588e135b2698c6599e8ec2e44208e18527,40,47
KriptoPohnee,0x26655D43E3DFA4f7ef6Ee94cef70Eb64632E6D59,d5fb3fe6e8530f7374c11f6aa2a70aa22eb6a89f153f1177fd4801dbff538619,40,46
Fireplan,0x74731D6D0a7a2d2b1eFE2CA299270178ce1C6160,2342787790b914742b01e4d2949f5ef7997afd8d78313e0c34be704f33a349ae,40,46
0xgenesisblock,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,f17f6cf94b1dbc7398147b8529626c8f682e782be368df7a8b97f3b7a8b0d82d,40,47
DAppNodeEddy,0x0fd6F85148A631321b8FEDF7f4AC52e86A617948,cc52c8ad7fdb1234e21ff7f6b56ed146ff794e19b25e43f225c09afe82b69fcc,40,47
afool41ssv,0xF99fa81DD466EEb72477b6D7984b2CDD8DF4c5C3,a399cde0d22ad8b26a877c2a6112d3c77633c2235d8a42e27350263c52175539,40,47
Kost,0xA5D00A577E71752929F315c1cB8F90144135Bd26,9c3695bf50b2e2d47941f82989c8e897af29558e43dd5044d041b9a35523ade5,40,47
Lovali,0xAC086399ccFf32586CDe3951eaa46DA23fD469b6,7c2308f3712472fb01d911c78710c5d17fddb3e8bbe29589384163d75d0337f2,40,47
StakeWithUs,0xcDC7855A74c7F0902527064DbeF3Ab52895681de,af5275c8e4b73a3ae320caaf56cebc2512b5b1d0b3e5051e1c67c2c99606f184,40,46
Solana,0xc6E7b3fBF87D189757e22A2bF095723cb4C2Ee7F,0cbab2b2465a81be2a3d91fc8fb2a0bb6e164e10180f14f019f3ed18984efa5b,40,47
DAppNodedsdiegosg,0xD11E5aC326869525b772B8D144AEaC4bC7500419,fc85ccb394314b5775b665cb85171394a7379de39aa9d61663aa5e7d908c0d20,40,47
DoNotUseThisOperator,0xFfa7588C83E3A6aF43eeB5718BC928D4D11cD954,560e7c5af8360e3fa365104c99e863bf6ea5fd51138bdb858d910d889158cba4,40,47
DappNodeSecured,0x40551E5738d2Ce282b658903a4a4ccA65eeF1f65,8068ea58f00f8d51abc34397f20bce498bf7d71491c21b09df628f6812de6960,40,46
ARTURZ,0x73ac4448c39c10EB1037711647184558d28d2757,7ad1f2669244c4aab9d4396a196313135a416c9dae53977acbfadbe96168b3bf,40,47
relax,0x3c34BBfB39520ffF4681FEbc7ffDA1d75d77c1cd,e9b923e69d4fe3b460a3a3949b14ee4598324f40209298d0ff8c6c5335aadcfd,40,47
EthStaker,0xaCf4C2950107eF9b1C37faA1F9a866C8F0da88b9,3f0ea78a6146a8d588395d800f8d8d7900fe07d0a59e0720e7bce57652291b72,39,46
www0akmalov0com,0x3c34BBfB39520ffF4681FEbc7ffDA1d75d77c1cd,22c19aa4e8508f54e042c3ba2c110074cff140a0257e65c2d9d9ae069db91558,40,47
EUCentralNode,0x1CBCC0151fb1E3cAea5e1Ad22964D2aD5a250A35,08a2528014c02b0e1555f77dd6cadaf5464b4de426d08a8b7a0c7ae55f4e2d60,40,47
USAEastNode,0xaF27EFE324ef978b7741a7806f6AE0CEEE7E8a6b,68719a7bc8fffa9dbe9c02e096b6bc424894460b3a6da9012c1b80502ddb1c80,40,47
ParisNode,0xDd92127587a446474e5B03ACb0dC4586bf5E3209,760f702d5c33cbef6fd2d75fa6a3d0ea7a46332e9662f91028c043e5ae3664e5,40,46
EUWest3,0x4deB7B5ad157CE9523B43CEc2f4b9A4f88f87c5B,48711d2fb4ca8f8ffc54dfbeb4366123b0027d5e020c6275d69c63c328a7408a,40,47
WeWillRockYou,0x3628e7870BF91f4Fb58284E80203DA7547c99a1e,2918ce0cc644de3b064d6575eb96df9c9a21870b4372ac3b36b4426f740746ee,40,46
